fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
1,2025-11..2026-01,future,unseen,persistence,15258,0.13471946120262146,-0.9432672092877332,0.0,-0.4446335549849483,sunshine_coast_core
1,2025-11..2026-01,future,unseen,climatology,15262,0.09325511008501053,0.07002732929242128,0.30778293460695705,0.0,sunshine_coast_core
1,2025-11..2026-01,seen,seen,gbt,18756194,0.09280664176309003,0.5795786594835162,0.24544710006517623,-0.0020220639708488086,sunshine_coast_core
1,2025-11..2026-01,seen,seen,persistence,20679174,0.1229955404996872,0.27057461554060247,0.0,-0.3279679450670734,sunshine_coast_core
1,2025-11..2026-01,seen,seen,climatology,21855859,0.09261935949325562,0.592149924019111,0.24696977535139852,0.0,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,gbt,712786,0.09278933938047368,0.4389532786824929,0.2423035264918949,0.011718444220056301,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,persistence,788396,0.12246241420507431,0.028556752323845247,0.0,-0.30432381611100645,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,climatology,836102,0.09388957917690277,0.4281920245374603,0.2333192205432416,0.0,sunshine_coast_core
2,2026-02..2026-04,future,seen,gbt,111847,0.1596457218825813,-0.09854634076789659,0.37246285095279574,-0.04450761075985654,sunshine_coast_core
2,2026-02..2026-04,future,seen,persistence,387044,0.25440043210983276,-1.1392385712504538,0.0,-0.6644554228315289,sunshine_coast_core
2,2026-02..2026-04,future,seen,climatology,562371,0.15284304320812225,0.1720818895528884,0.3992028946627927,0.0,sunshine_coast_core
2,2026-02..2026-04,future,unseen,gbt,786,0.14195162258158156,-0.24965912919979183,0.4907578219585146,0.10874324046418737,sunshine_coast_core
2,2026-02..2026-04,future,unseen,persistence,13058,0.2787507176399231,-1.5561034789487889,0.0,-0.7501628851002329,sunshine_coast_core
2,2026-02..2026-04,future,unseen,climatology,21398,0.15927129983901978,-0.04657646413383132,0.42862461059289947,0.0,sunshine_coast_core
2,2026-02..2026-04,seen,seen,gbt,19338726,0.0931461083557523,0.5780111781649595,0.2411475859819836,-0.0021641149658320202,sunshine_coast_core
2,2026-02..2026-04,seen,seen,persistence,21263010,0.12274601310491562,0.2759523195227347,0.0,-0.32063112201161026,sunshine_coast_core
2,2026-02..2026-04,seen,seen,climatology,22441180,0.09294496476650238,0.590555396824171,0.24278628351815523,0.0,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,gbt,735262,0.09258706377091892,0.4416251889026296,0.2393209715475081,0.012300489840997741,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,persistence,810876,0.12171633541584015,0.04091781243787107,0.0,-0.29844451235675007,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,climatology,858590,0.09374011307954788,0.43031197133360755,0.22984772126693065,0.0,sunshine_coast_core
3,2026-05..2026-07,future,seen,gbt,542602,0.0831913722032638,0.5291682203545,0.20059078769836514,0.07306585316246406,sunshine_coast_core
3,2026-05..2026-07,future,seen,persistence,586397,0.10406606644392014,0.3386948531748465,0.0,-0.1595239741717951,sunshine_coast_core
3,2026-05..2026-07,future,seen,climatology,587594,0.08974895626306534,0.5133882811888955,0.13757712451416715,0.0,sunshine_coast_core
3,2026-05..2026-07,future,unseen,gbt,20296,0.09987116889066791,0.16296370788441705,0.14330231540312377,-0.03795680238471588,sunshine_coast_core
3,2026-05..2026-07,future,unseen,persistence,22500,0.1165769100189209,-0.10674594040044383,0.0,-0.2115788580345379,sunshine_coast_core
3,2026-05..2026-07,future,unseen,climatology,22500,0.096219003200531,0.24604649369802756,0.17463069500714778,0.0,sunshine_coast_core
3,2026-05..2026-07,seen,seen,gbt,19762795,0.09332914281052802,0.5756556163857585,0.24467613021178347,-0.0019893127076826556,sunshine_coast_core
3,2026-05..2026-07,seen,seen,persistence,21692259,0.12356175482273102,0.26507558892903693,0.0,-0.3265691086773519,sunshine_coast_core
3,2026-05..2026-07,seen,seen,climatology,22873918,0.09314385056495667,0.5881616367362916,0.24617572242651997,0.0,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,gbt,750512,0.09240957514439854,0.44064897854985685,0.24235226979811897,0.013270979098069291,sunshine_coast_core
