fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
3,2026-05..2026-07,future,unseen,gnn,323,0.09954635798931122,-0.03494531581792848,0.15620624412707018,0.1255363179757979,daintree
3,2026-05..2026-07,seen,seen,gnn,1534381,0.10219749808311462,0.049125889847773885,0.2890629316465233,0.046514802856580384,daintree
3,2026-05..2026-07,seen,unseen,gnn,131982,0.09657339751720428,0.04756986934952068,0.28781885857279177,0.04915653374033757,daintree
0,2025-08..2025-10,future,seen,ensemble,26505,0.06748259038147562,-0.29650975779479016,-0.012071855760776629,0.1866256687435629,daintree
0,2025-08..2025-10,future,unseen,ensemble,1895,0.06772026213957584,-0.09114587023527831,0.03302013429472983,0.17014751724815957,daintree
0,2025-08..2025-10,seen,seen,ensemble,0,,,,,daintree
0,2025-08..2025-10,seen,unseen,ensemble,0,,,,,daintree
1,2025-11..2026-01,future,seen,ensemble,24084,0.07108442675836735,0.10829196680501219,0.16099953650466792,0.2008848959410099,daintree
1,2025-11..2026-01,future,unseen,ensemble,1498,0.07425601572731126,0.19758128659229313,0.1838584169544999,0.16962355380460425,daintree
1,2025-11..2026-01,seen,seen,ensemble,0,,,,,daintree
1,2025-11..2026-01,seen,unseen,ensemble,0,,,,,daintree
2,2026-02..2026-04,future,seen,ensemble,3401,0.08231444175740209,-0.1792137689070834,0.2145254203104816,0.2473853381188399,daintree
2,2026-02..2026-04,future,unseen,ensemble,192,0.060479086660388814,-0.2634660913384661,0.43016284498638935,0.21789128214262365,daintree
2,2026-02..2026-04,seen,seen,ensemble,26505,0.06748259038147561,-0.2965096515444525,0.5317089776379987,0.3711606474159139,daintree
2,2026-02..2026-04,seen,unseen,ensemble,1895,0.06772026213957584,-0.0911458049088043,0.5014567138166708,0.3338284665792275,daintree
3,2026-05..2026-07,future,seen,ensemble,1745,0.11226874341068081,-0.03403495125219558,0.18547470577614655,0.10757517918750636,daintree
3,2026-05..2026-07,future,unseen,ensemble,323,0.10376483165536302,-0.12451954282305411,0.12044881602396373,0.08847919113511649,daintree
3,2026-05..2026-07,seen,seen,ensemble,50589,0.06922070095283063,-0.01432259075444331,0.5184660766865778,0.3541826861481624,daintree
